,Gender,Entry Date,Entered by ,First Name,Last Date,Client Name (drop down from Client Master),Job Title,Phone,Work Email,Mobile Phone,Personal Email,Archetype,Relationship in degree,City / Location,Something memorable about him / her ,Details are upto date,Notes / Recent Interactions,,,,,,,,,,,,,,,,,,,
,Male,"Aug 1, 2024",Praveen Gangadhar,Mukesh,Ambani,Airtel India,CEO,1234565,ambani@reliance.com,3478555,,Decision Maker ,2nd degree (Knows us),Mumbai ,Loves Kandvi,Click and Tick,Met at his sons prewedding,,,,,,,,,,,,,,,,,,,
,Male,"Aug 1, 2024",Praveen Gangadhar,Sunil ,Mittal,Reliance Geo,CEO,456784,sunil@airtel.com,1234343,,Technical Evaluator,1st deegree (Very Close),Mumbai ,Owns fancy cars,Click and Tick,Met at Mumbai airport lounge,,,,,,,,,,,,,,,,,,,
,Male,"Aug 1, 2024",Praveen Gangadhar,Mukesh,Ambani,Airtel India,CEO,1234565,ambani@reliance.com,3478555,,Generic,2nd degree (Knows us),Mumbai ,Loves Kandvi,Click and Tick,Met at his sons prewedding,,,,,,,,,,,,,,,,,,,
,Male,"Aug 1, 2024",Praveen Gangadhar,Sunil ,Mittal,Reliance Geo,CEO,456784,sunil@airtel.com,1234343,,Specifier,1st deegree (Very Close),Mumbai ,Owns fancy cars,Click and Tick,Met at Mumbai airport lounge,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
